flight_id,aircraft,flight_hours
FLIGHT_0060,N610TX,3.51
FLIGHT_0061,N610TX,3.7
FLIGHT_0062,N579MH,4.39
FLIGHT_0063,N610TX,4.15
FLIGHT_0064,N99CT,2.86
FLIGHT_0065,N301VR,3.63
FLIGHT_0066,N301VR,3.48
FLIGHT_0067,N579MH,3.16
FLIGHT_0068,N301VR,2.6
FLIGHT_0069,N610TX,2.49
FLIGHT_0070,N99CT,3.21
FLIGHT_0071,N716TM,4.28
FLIGHT_0072,N452M,4.09
FLIGHT_0073,N716TM,4.94
FLIGHT_0074,N716TM,4.01
FLIGHT_0075,N604XT,4.26
FLIGHT_0076,N716TM,3.75
FLIGHT_0077,N716TM,4.39
FLIGHT_0078,N716TM,5.04
FLIGHT_0079,N523AR,4.4
FLIGHT_0080,N610TX,4.52
FLIGHT_0081,N452M,4.39
FLIGHT_0082,N716TM,5.42
FLIGHT_0083,N71HC,3.46
FLIGHT_0084,N523AR,3.92
FLIGHT_0085,N610TX,4.16
FLIGHT_0086,N99CT,3.18
FLIGHT_0087,N71HC,3.71
FLIGHT_0088,N372MZ,3.33
FLIGHT_0089,N610TX,3.21
FLIGHT_0090,N99CT,4.07
FLIGHT_0091,N716TM,3.56
FLIGHT_0092,N716TM,5.09
FLIGHT_0093,N301VR,3.71
FLIGHT_0094,N579MH,3.82
FLIGHT_0095,N372MZ,2.52
FLIGHT_0096,N579MH,4.73
FLIGHT_0097,N301VR,2.86
FLIGHT_0098,N301VR,3.92
FLIGHT_0099,N99CT,3.0
FLIGHT_0100,N716TM,3.74
FLIGHT_0101,N604CH,4.2
FLIGHT_0102,N99CT,3.68
FLIGHT_0103,N301VR,2.73
FLIGHT_0104,N71HC,4.19
FLIGHT_0105,N523AR,4.17
FLIGHT_0106,N523AR,4.38
FLIGHT_0107,N452M,3.56
FLIGHT_0108,N301VR,2.76
FLIGHT_0109,N372MZ,4.24
FLIGHT_0110,N71HC,3.54
FLIGHT_0111,N716TM,3.72
FLIGHT_0112,N610TX,4.38
FLIGHT_0113,N716TM,4.36
FLIGHT_0114,N604XT,4.38
FLIGHT_0115,N716TM,5.66
FLIGHT_0116,N523AR,3.11
FLIGHT_0117,N604CH,2.7
FLIGHT_0118,N452M,2.84
FLIGHT_0119,N452M,3.99
FLIGHT_0120,N579MH,3.52
FLIGHT_0121,N716TM,4.11
FLIGHT_0122,N604XT,3.62
FLIGHT_0123,N372MZ,4.86
FLIGHT_0124,N301VR,4.51
FLIGHT_0125,N523AR,5.0
FLIGHT_0126,N452M,2.76
FLIGHT_0127,N523AR,3.95
FLIGHT_0128,N716TM,4.94
FLIGHT_0129,N452M,3.73
FLIGHT_0130,N99CT,3.89
FLIGHT_0131,N99CT,4.09
FLIGHT_0132,N372MZ,5.02
FLIGHT_0133,N71HC,3.02
FLIGHT_0134,N372MZ,3.81
FLIGHT_0135,N99CT,3.14
FLIGHT_0136,N716TM,2.82
FLIGHT_0137,N99CT,3.78
FLIGHT_0138,N610TX,4.12
FLIGHT_0139,N71HC,3.07
FLIGHT_0140,N71HC,2.48
FLIGHT_0141,N301VR,3.17
FLIGHT_0142,N99CT,3.8
FLIGHT_0143,N523AR,5.33
FLIGHT_0144,N301VR,2.98
FLIGHT_0145,N523AR,5.16
FLIGHT_0146,N523AR,4.79
FLIGHT_0147,N604CH,4.03
FLIGHT_0148,N604XT,3.35
FLIGHT_0149,N523AR,3.38
FLIGHT_0150,N716TM,3.7
FLIGHT_0151,N372MZ,3.54
FLIGHT_0152,N372MZ,4.94
FLIGHT_0153,N99CT,3.01
FLIGHT_0154,N610TX,4.26
FLIGHT_0155,N301VR,3.12
FLIGHT_0156,N301VR,3.64
FLIGHT_0157,N99CT,3.34
FLIGHT_0158,N610TX,3.87
FLIGHT_0159,N495DD,4.6
FLIGHT_0160,N604CH,3.6
FLIGHT_0161,N716TM,4.6
FLIGHT_0162,N523AR,5.25
FLIGHT_0163,N71HC,2.96
FLIGHT_0164,N452M,4.54
FLIGHT_0165,N301VR,3.23
FLIGHT_0166,N716TM,4.04
FLIGHT_0167,N99CT,3.78
FLIGHT_0168,N452M,3.53
FLIGHT_0169,N523AR,4.57
FLIGHT_0170,N71HC,3.51
FLIGHT_0171,N523AR,2.75
FLIGHT_0172,N610TX,4.03
FLIGHT_0173,N452M,2.81
FLIGHT_0174,N372MZ,2.86
FLIGHT_0175,N716TM,4.59
FLIGHT_0176,N99CT,3.68
FLIGHT_0177,N610TX,4.55
FLIGHT_0178,N523AR,3.5
FLIGHT_0179,N716TM,3.77
FLIGHT_0180,N523AR,4.67
FLIGHT_0181,N610TX,4.57
FLIGHT_0182,N71HC,3.49
FLIGHT_0183,N579MH,3.18
FLIGHT_0184,N604CH,4.74
FLIGHT_0185,N523AR,4.12
FLIGHT_0186,N716TM,4.15
FLIGHT_0187,N610TX,2.81
FLIGHT_0188,N610TX,4.24
FLIGHT_0189,N452M,4.32
FLIGHT_0190,N372MZ,3.3
FLIGHT_0191,N716TM,5.64
FLIGHT_0192,N610TX,3.37
FLIGHT_0193,N716TM,4.79
FLIGHT_0194,N604CH,3.91
FLIGHT_0195,N610TX,2.42
FLIGHT_0196,N579MH,4.11
FLIGHT_0197,N604CH,4.06
FLIGHT_0198,N604CH,2.59
FLIGHT_0199,N99CT,4.25
FLIGHT_0200,N604XT,4.67
FLIGHT_0201,N301VR,4.08
FLIGHT_0202,N523AR,3.03
FLIGHT_0203,N99CT,3.15
FLIGHT_0204,N523AR,5.2
FLIGHT_0205,N452M,2.72
FLIGHT_0206,N610TX,3.5
FLIGHT_0207,N71HC,3.61
FLIGHT_0208,N495DD,2.89
FLIGHT_0209,N531P,3.33
FLIGHT_0210,N610TX,4.67
FLIGHT_0211,N523AR,4.37
FLIGHT_0212,N372MZ,4.53
FLIGHT_0213,N610TX,3.88
FLIGHT_0214,N71HC,4.76
FLIGHT_0215,N452M,4.05
FLIGHT_0216,N610TX,4.59
FLIGHT_0217,N610TX,3.6
FLIGHT_0218,N716TM,4.48
FLIGHT_0219,N71HC,3.75
FLIGHT_0220,N452M,4.29
FLIGHT_0221,N71HC,3.36
FLIGHT_0222,N579MH,3.76
FLIGHT_0223,N99CT,3.66
FLIGHT_0224,N301VR,3.66
FLIGHT_0225,N71HC,2.8
FLIGHT_0226,N579MH,3.91
FLIGHT_0227,N71HC,3.56
FLIGHT_0228,N579MH,3.12
FLIGHT_0229,N531P,5.0
FLIGHT_0230,N372MZ,4.03
FLIGHT_0231,N604XT,6.07
FLIGHT_0232,N523AR,4.3
FLIGHT_0233,N523AR,5.18
FLIGHT_0234,N99CT,3.68
FLIGHT_0235,N531P,5.77
FLIGHT_0236,N579MH,3.12
FLIGHT_0237,N523AR,3.95
FLIGHT_0238,N71HC,2.86
FLIGHT_0239,N372MZ,3.71
FLIGHT_0240,N301VR,2.75
FLIGHT_0241,N610TX,2.75
FLIGHT_0242,N301VR,2.18
FLIGHT_0243,N610TX,2.31
FLIGHT_0244,N523AR,4.82
FLIGHT_0245,N71HC,3.13
FLIGHT_0246,N716TM,3.39
FLIGHT_0247,N301VR,3.01
FLIGHT_0248,N716TM,3.93
FLIGHT_0249,N99CT,2.84
FLIGHT_0250,N604XT,5.52
FLIGHT_0251,N71HC,4.18
FLIGHT_0252,N604CH,4.8
FLIGHT_0253,N99CT,3.49
FLIGHT_0254,N452M,3.95
FLIGHT_0255,N495DD,3.83
FLIGHT_0256,N99CT,2.9
FLIGHT_0257,N71HC,3.39
FLIGHT_0258,N99CT,3.75
FLIGHT_0259,N99CT,4.06
FLIGHT_0260,N523AR,3.91
FLIGHT_0261,N372MZ,2.93
FLIGHT_0262,N610TX,4.24
FLIGHT_0263,N523AR,2.96
FLIGHT_0264,N610TX,3.73
FLIGHT_0265,N610TX,3.81
FLIGHT_0266,N452M,3.5
FLIGHT_0267,N523AR,3.16
FLIGHT_0268,N99CT,3.18
FLIGHT_0269,N716TM,5.55
FLIGHT_0270,N604XT,4.76
FLIGHT_0271,N523AR,5.19
FLIGHT_0272,N99CT,2.7
FLIGHT_0273,N523AR,4.51
FLIGHT_0274,N301VR,3.43
FLIGHT_0275,N372MZ,3.83
FLIGHT_0276,N301VR,3.69
FLIGHT_0277,N604XT,4.43
FLIGHT_0278,N604CH,2.98
FLIGHT_0279,N99CT,3.73
FLIGHT_0280,N531P,4.95
FLIGHT_0281,N604CH,4.62
FLIGHT_0282,N716TM,5.35
FLIGHT_0283,N99CT,3.65
FLIGHT_0284,N71HC,2.73
FLIGHT_0285,N579MH,2.75
FLIGHT_0286,N579MH,3.61
FLIGHT_0287,N99CT,3.9
FLIGHT_0288,N523AR,4.96
FLIGHT_0289,N716TM,4.53
FLIGHT_0290,N452M,3.73
FLIGHT_0291,N716TM,5.75
FLIGHT_0292,N452M,4.13
FLIGHT_0293,N523AR,4.26
FLIGHT_0294,N372MZ,3.33
FLIGHT_0295,N523AR,3.56
FLIGHT_0296,N604XT,3.49
FLIGHT_0297,N71HC,2.81
FLIGHT_0298,N604CH,3.95
FLIGHT_0299,N523AR,4.31
FLIGHT_0300,N523AR,4.08
FLIGHT_0301,N531P,4.88
FLIGHT_0302,N452M,4.95
FLIGHT_0303,N604XT,3.7
FLIGHT_0304,N71HC,3.01
FLIGHT_0305,N372MZ,2.3
FLIGHT_0306,N604XT,4.3
FLIGHT_0307,N610TX,3.67
FLIGHT_0308,N452M,4.34
FLIGHT_0309,N604XT,4.26
FLIGHT_0310,N71HC,3.05
FLIGHT_0311,N604CH,3.88
FLIGHT_0312,N579MH,4.12
FLIGHT_0313,N610TX,2.7
FLIGHT_0314,N716TM,5.08
FLIGHT_0315,N301VR,4.11
FLIGHT_0316,N301VR,3.69
FLIGHT_0317,N604XT,3.62
FLIGHT_0318,N610TX,3.54
FLIGHT_0319,N301VR,4.05
FLIGHT_0320,N372MZ,3.12
FLIGHT_0321,N604XT,4.79
FLIGHT_0322,N372MZ,3.72
FLIGHT_0323,N71HC,3.48
FLIGHT_0324,N452M,3.2
FLIGHT_0325,N301VR,3.57
FLIGHT_0326,N604CH,3.93
FLIGHT_0327,N716TM,3.18
FLIGHT_0328,N523AR,4.32
FLIGHT_0329,N452M,4.16
FLIGHT_0330,N716TM,4.03
FLIGHT_0331,N99CT,2.0
FLIGHT_0332,N372MZ,3.68
FLIGHT_0333,N495DD,5.42
FLIGHT_0334,N531P,4.06
FLIGHT_0335,N716TM,5.39
FLIGHT_0336,N301VR,2.92
FLIGHT_0337,N71HC,2.72
FLIGHT_0338,N301VR,3.38
FLIGHT_0339,N452M,3.21
FLIGHT_0340,N301VR,3.57
FLIGHT_0341,N523AR,4.04
FLIGHT_0342,N301VR,4.21
FLIGHT_0343,N301VR,3.13
FLIGHT_0344,N604XT,4.39
FLIGHT_0345,N604XT,4.77
FLIGHT_0346,N301VR,3.92
FLIGHT_0347,N301VR,4.22
FLIGHT_0348,N301VR,3.25
FLIGHT_0349,N604CH,3.49
FLIGHT_0350,N579MH,2.5
FLIGHT_0351,N301VR,4.54
FLIGHT_0352,N523AR,4.59
FLIGHT_0353,N372MZ,4.26
FLIGHT_0354,N452M,4.12
FLIGHT_0355,N610TX,3.79
FLIGHT_0356,N71HC,3.58
FLIGHT_0357,N99CT,3.06
FLIGHT_0358,N716TM,4.1
FLIGHT_0359,N604CH,3.13
FLIGHT_0360,N610TX,4.78
FLIGHT_0361,N523AR,4.74
FLIGHT_0362,N716TM,5.81
FLIGHT_0363,N523AR,6.05
FLIGHT_0364,N716TM,3.27
FLIGHT_0365,N716TM,5.06
FLIGHT_0366,N579MH,2.87
FLIGHT_0367,N301VR,3.49
FLIGHT_0368,N716TM,4.56
FLIGHT_0369,N604XT,3.35
FLIGHT_0370,N301VR,2.97
FLIGHT_0371,N301VR,3.59
FLIGHT_0372,N716TM,4.45
FLIGHT_0373,N452M,3.09
FLIGHT_0374,N604CH,3.3
FLIGHT_0375,N301VR,2.55
FLIGHT_0376,N523AR,3.42
FLIGHT_0377,N716TM,4.04
FLIGHT_0378,N604XT,5.06
FLIGHT_0379,N372MZ,4.49
FLIGHT_0380,N452M,4.96
FLIGHT_0381,N523AR,4.64
FLIGHT_0382,N610TX,3.88
FLIGHT_0383,N610TX,4.09
FLIGHT_0384,N452M,4.08
FLIGHT_0385,N579MH,2.7
FLIGHT_0386,N71HC,4.44
FLIGHT_0387,N71HC,2.29
FLIGHT_0388,N301VR,4.03
FLIGHT_0389,N716TM,4.37
FLIGHT_0390,N372MZ,3.04
FLIGHT_0391,N579MH,4.11
FLIGHT_0392,N610TX,3.68
FLIGHT_0393,N301VR,3.0
FLIGHT_0394,N99CT,2.6
FLIGHT_0395,N604CH,2.79
FLIGHT_0396,N71HC,3.03
FLIGHT_0397,N99CT,3.17
FLIGHT_0398,N610TX,2.96
FLIGHT_0399,N604CH,3.79
FLIGHT_0400,N71HC,2.78
FLIGHT_0401,N452M,3.99
FLIGHT_0402,N372MZ,4.57
FLIGHT_0403,N604CH,3.95
FLIGHT_0404,N604CH,3.69
FLIGHT_0405,N301VR,3.08
FLIGHT_0406,N604XT,5.41
FLIGHT_0407,N301VR,3.27
FLIGHT_0408,N301VR,4.78
FLIGHT_0409,N452M,2.98
FLIGHT_0410,N495DD,4.54
FLIGHT_0411,N372MZ,4.69
FLIGHT_0412,N452M,3.31
FLIGHT_0413,N610TX,3.6
FLIGHT_0414,N452M,4.17
FLIGHT_0415,N523AR,4.61
FLIGHT_0416,N71HC,3.7
FLIGHT_0417,N99CT,4.04
FLIGHT_0418,N71HC,3.18
FLIGHT_0419,N71HC,4.19
FLIGHT_0420,N579MH,2.63
FLIGHT_0421,N604XT,5.13
FLIGHT_0422,N610TX,4.51
FLIGHT_0423,N372MZ,3.25
FLIGHT_0424,N604XT,3.23
FLIGHT_0425,N71HC,3.25
FLIGHT_0426,N301VR,3.61
FLIGHT_0427,N716TM,4.07
FLIGHT_0428,N604CH,4.09
FLIGHT_0429,N99CT,4.47
FLIGHT_0430,N372MZ,2.86
FLIGHT_0431,N579MH,2.47
FLIGHT_0432,N99CT,3.34
FLIGHT_0433,N716TM,3.81
FLIGHT_0434,N523AR,3.96
FLIGHT_0435,N523AR,5.27
FLIGHT_0436,N604CH,3.68
FLIGHT_0437,N372MZ,3.74
FLIGHT_0438,N579MH,3.47
FLIGHT_0439,N452M,3.73
FLIGHT_0440,N579MH,3.94
FLIGHT_0441,N610TX,5.59
FLIGHT_0442,N716TM,4.53
FLIGHT_0443,N372MZ,4.52
FLIGHT_0444,N71HC,3.49
FLIGHT_0445,N716TM,2.8
FLIGHT_0446,N99CT,3.06
FLIGHT_0447,N579MH,3.95
FLIGHT_0448,N716TM,4.87
FLIGHT_0449,N99CT,3.5
FLIGHT_0450,N610TX,4.36
FLIGHT_0451,N604CH,2.8
FLIGHT_0452,N604CH,3.79
FLIGHT_0453,N604CH,4.63
FLIGHT_0454,N610TX,3.12
FLIGHT_0455,N579MH,4.49
FLIGHT_0456,N716TM,5.13
FLIGHT_0457,N452M,2.94
FLIGHT_0458,N604CH,3.98
FLIGHT_0459,N523AR,4.44
FLIGHT_0460,N523AR,4.19
FLIGHT_0461,N71HC,2.52
FLIGHT_0462,N610TX,3.59
FLIGHT_0463,N71HC,3.3
FLIGHT_0464,N610TX,2.64
FLIGHT_0465,N610TX,2.9
FLIGHT_0466,N604XT,3.63
FLIGHT_0467,N579MH,3.07
FLIGHT_0468,N71HC,3.57
FLIGHT_0469,N301VR,3.9
FLIGHT_0470,N99CT,3.2
FLIGHT_0471,N604CH,4.26
FLIGHT_0472,N523AR,5.04
FLIGHT_0473,N99CT,3.33
FLIGHT_0474,N716TM,4.63
FLIGHT_0475,N610TX,3.61
FLIGHT_0476,N71HC,2.75
FLIGHT_0477,N610TX,3.27
FLIGHT_0478,N716TM,4.57
FLIGHT_0479,N579MH,3.68
FLIGHT_0480,N301VR,3.8
FLIGHT_0481,N495DD,2.9
FLIGHT_0482,N604XT,3.08
FLIGHT_0483,N716TM,3.18
FLIGHT_0484,N579MH,3.87
FLIGHT_0485,N604XT,3.29
FLIGHT_0486,N372MZ,3.96
FLIGHT_0487,N604CH,4.26
FLIGHT_0488,N716TM,5.46
FLIGHT_0489,N579MH,4.68
FLIGHT_0490,N610TX,3.3
FLIGHT_0491,N452M,2.66
FLIGHT_0492,N610TX,3.34
FLIGHT_0493,N71HC,3.94
FLIGHT_0494,N604CH,3.5
FLIGHT_0495,N604XT,4.3
FLIGHT_0496,N301VR,3.07
FLIGHT_0497,N452M,4.8
FLIGHT_0498,N372MZ,3.09
FLIGHT_0499,N99CT,3.42
FLIGHT_0500,N301VR,4.0
FLIGHT_0501,N452M,4.97
FLIGHT_0502,N301VR,2.99
FLIGHT_0503,N301VR,3.93
FLIGHT_0504,N523AR,3.84
FLIGHT_0505,N99CT,4.16
FLIGHT_0506,N610TX,4.89
FLIGHT_0507,N523AR,3.65
FLIGHT_0508,N579MH,4.19
FLIGHT_0509,N610TX,4.49
FLIGHT_0510,N495DD,4.1
FLIGHT_0511,N71HC,3.69
FLIGHT_0512,N604CH,4.15
FLIGHT_0513,N523AR,5.83
FLIGHT_0514,N71HC,2.27
FLIGHT_0515,N372MZ,3.72
FLIGHT_0516,N604CH,2.93
FLIGHT_0517,N604CH,3.77
FLIGHT_0518,N610TX,3.24
FLIGHT_0519,N604CH,3.59
FLIGHT_0520,N604CH,3.18
FLIGHT_0521,N452M,3.86
FLIGHT_0522,N301VR,3.98
FLIGHT_0523,N71HC,3.18
FLIGHT_0524,N372MZ,4.7
FLIGHT_0525,N579MH,4.44
FLIGHT_0526,N99CT,4.53
FLIGHT_0527,N716TM,4.63
FLIGHT_0528,N71HC,3.34
FLIGHT_0529,N579MH,2.71
FLIGHT_0530,N452M,3.24
FLIGHT_0531,N610TX,3.62
FLIGHT_0532,N604CH,3.7
FLIGHT_0533,N452M,5.3
FLIGHT_0534,N523AR,4.16
FLIGHT_0535,N71HC,2.39
FLIGHT_0536,N71HC,3.76
FLIGHT_0537,N604XT,4.78
FLIGHT_0538,N99CT,3.12
FLIGHT_0539,N579MH,5.16
FLIGHT_0540,N604XT,2.89
FLIGHT_0541,N523AR,5.26
FLIGHT_0542,N610TX,3.57
FLIGHT_0543,N604XT,3.61
FLIGHT_0544,N716TM,6.12
FLIGHT_0545,N523AR,4.88
FLIGHT_0546,N372MZ,3.56
FLIGHT_0547,N71HC,3.2
FLIGHT_0548,N301VR,3.54
FLIGHT_0549,N579MH,3.46
FLIGHT_0550,N610TX,4.61
FLIGHT_0551,N523AR,4.39
FLIGHT_0552,N452M,4.42
FLIGHT_0553,N452M,3.9
FLIGHT_0554,N99CT,3.87
FLIGHT_0555,N372MZ,4.64
FLIGHT_0556,N523AR,5.58
FLIGHT_0557,N716TM,4.69
FLIGHT_0558,N372MZ,3.18
FLIGHT_0559,N604CH,3.64
FLIGHT_0560,N99CT,3.36
FLIGHT_0561,N610TX,3.38
FLIGHT_0562,N604CH,3.27
FLIGHT_0563,N610TX,3.87
FLIGHT_0564,N716TM,3.58
FLIGHT_0565,N610TX,2.99
FLIGHT_0566,N71HC,2.42
FLIGHT_0567,N301VR,3.65
FLIGHT_0568,N604CH,3.98
FLIGHT_0569,N372MZ,3.54
FLIGHT_0570,N579MH,4.42
FLIGHT_0571,N523AR,3.57
FLIGHT_0572,N301VR,3.6
FLIGHT_0573,N604XT,4.36
FLIGHT_0574,N523AR,3.77
FLIGHT_0575,N579MH,3.44
FLIGHT_0576,N523AR,3.89
FLIGHT_0577,N610TX,3.93
FLIGHT_0578,N579MH,4.15
FLIGHT_0579,N604CH,3.48
FLIGHT_0580,N610TX,3.29
FLIGHT_0581,N579MH,3.85
FLIGHT_0582,N301VR,2.45
FLIGHT_0583,N301VR,3.4
FLIGHT_0584,N372MZ,4.78
FLIGHT_0585,N716TM,3.8
FLIGHT_0586,N579MH,3.64
FLIGHT_0587,N99CT,3.95
FLIGHT_0588,N716TM,4.88
FLIGHT_0589,N523AR,4.37
FLIGHT_0590,N610TX,3.72
FLIGHT_0591,N604XT,3.39
FLIGHT_0592,N610TX,4.08
FLIGHT_0593,N610TX,2.87
FLIGHT_0594,N99CT,2.22
FLIGHT_0595,N716TM,5.08
FLIGHT_0596,N604CH,4.01
FLIGHT_0597,N452M,4.34
FLIGHT_0598,N531P,3.77
FLIGHT_0599,N610TX,4.07
FLIGHT_0600,N301VR,3.14
FLIGHT_0601,N716TM,4.08
FLIGHT_0602,N604XT,5.05
FLIGHT_0603,N523AR,4.21
FLIGHT_0604,N99CT,2.99
FLIGHT_0605,N71HC,2.61
FLIGHT_0606,N301VR,3.59
FLIGHT_0607,N604XT,5.12
FLIGHT_0608,N452M,3.24
FLIGHT_0609,N452M,4.21
FLIGHT_0610,N372MZ,3.14
FLIGHT_0611,N523AR,4.88
FLIGHT_0612,N531P,4.35
FLIGHT_0613,N99CT,3.53
FLIGHT_0614,N71HC,2.99
FLIGHT_0615,N99CT,3.58
FLIGHT_0616,N452M,3.36
FLIGHT_0617,N610TX,3.49
FLIGHT_0618,N495DD,3.18
FLIGHT_0619,N372MZ,3.25
FLIGHT_0620,N99CT,3.08
FLIGHT_0621,N604XT,4.56
FLIGHT_0622,N372MZ,4.15
FLIGHT_0623,N523AR,3.86
FLIGHT_0624,N716TM,4.2
FLIGHT_0625,N452M,4.87
FLIGHT_0626,N604CH,3.84
FLIGHT_0627,N452M,3.4
FLIGHT_0628,N604CH,2.65
FLIGHT_0629,N610TX,3.19
FLIGHT_0630,N99CT,2.87
FLIGHT_0631,N301VR,4.5
FLIGHT_0632,N71HC,2.9
FLIGHT_0633,N99CT,3.41
FLIGHT_0634,N495DD,4.6
FLIGHT_0635,N604XT,5.16
FLIGHT_0636,N579MH,3.77
FLIGHT_0637,N716TM,3.94
FLIGHT_0638,N610TX,3.38
FLIGHT_0639,N301VR,3.58
FLIGHT_0640,N71HC,3.0
FLIGHT_0641,N372MZ,3.03
FLIGHT_0642,N604CH,3.42
FLIGHT_0643,N523AR,3.33
FLIGHT_0644,N301VR,4.42
FLIGHT_0645,N604XT,4.77
FLIGHT_0646,N301VR,4.29
FLIGHT_0647,N99CT,3.65
FLIGHT_0648,N604XT,5.47
FLIGHT_0649,N716TM,4.59
FLIGHT_0650,N71HC,3.8
FLIGHT_0651,N523AR,2.71
FLIGHT_0652,N610TX,3.16
FLIGHT_0653,N610TX,3.79
FLIGHT_0654,N523AR,4.37
FLIGHT_0655,N716TM,4.26
FLIGHT_0656,N716TM,4.66
FLIGHT_0657,N716TM,4.7
FLIGHT_0658,N495DD,4.97
FLIGHT_0659,N604XT,4.83
FLIGHT_0660,N523AR,5.22
FLIGHT_0661,N71HC,4.07
FLIGHT_0662,N99CT,3.48
FLIGHT_0663,N523AR,5.89
FLIGHT_0664,N71HC,4.15
FLIGHT_0665,N579MH,3.23
FLIGHT_0666,N372MZ,4.01
FLIGHT_0667,N604XT,2.94
FLIGHT_0668,N523AR,3.06
FLIGHT_0669,N579MH,3.43
FLIGHT_0670,N716TM,3.66
FLIGHT_0671,N301VR,3.1
FLIGHT_0672,N604XT,4.57
FLIGHT_0673,N716TM,5.24
FLIGHT_0674,N604XT,5.2
FLIGHT_0675,N604CH,4.03
FLIGHT_0676,N610TX,3.04
FLIGHT_0677,N610TX,3.39
FLIGHT_0678,N301VR,3.74
FLIGHT_0679,N610TX,3.21
FLIGHT_0680,N372MZ,2.92
FLIGHT_0681,N604XT,4.69
FLIGHT_0682,N301VR,3.35
FLIGHT_0683,N452M,3.62
FLIGHT_0684,N99CT,4.01
FLIGHT_0685,N452M,4.47
FLIGHT_0686,N301VR,4.39
FLIGHT_0687,N604XT,3.83
FLIGHT_0688,N523AR,4.64
FLIGHT_0689,N99CT,3.39
FLIGHT_0690,N99CT,3.57
FLIGHT_0691,N523AR,3.47
FLIGHT_0692,N99CT,2.59
FLIGHT_0693,N523AR,4.29
FLIGHT_0694,N604XT,3.69
FLIGHT_0695,N452M,4.38
FLIGHT_0696,N372MZ,2.77
FLIGHT_0697,N301VR,2.58
FLIGHT_0698,N716TM,4.01
FLIGHT_0699,N716TM,3.17
FLIGHT_0700,N610TX,4.86
FLIGHT_0701,N452M,3.64
FLIGHT_0702,N71HC,3.04
FLIGHT_0703,N301VR,3.64
FLIGHT_0704,N452M,4.34
FLIGHT_0705,N452M,3.89
FLIGHT_0706,N452M,3.71
FLIGHT_0707,N452M,3.11
FLIGHT_0708,N523AR,4.79
FLIGHT_0709,N99CT,4.18
FLIGHT_0710,N523AR,4.15
FLIGHT_0711,N523AR,3.68
FLIGHT_0712,N523AR,4.46
FLIGHT_0713,N495DD,4.32
FLIGHT_0714,N716TM,3.41
FLIGHT_0715,N71HC,3.1
FLIGHT_0716,N523AR,5.66
FLIGHT_0717,N99CT,2.62
FLIGHT_0718,N523AR,3.8
FLIGHT_0719,N604CH,3.14
FLIGHT_0720,N452M,3.19
FLIGHT_0721,N71HC,3.13
FLIGHT_0722,N531P,4.66
FLIGHT_0723,N301VR,4.12
FLIGHT_0724,N372MZ,3.89
FLIGHT_0725,N71HC,3.0
FLIGHT_0726,N523AR,5.48
FLIGHT_0727,N452M,2.4
FLIGHT_0728,N523AR,4.83
FLIGHT_0729,N301VR,2.8
FLIGHT_0730,N716TM,4.28
FLIGHT_0731,N523AR,4.74
FLIGHT_0732,N523AR,3.12
FLIGHT_0733,N452M,3.85
FLIGHT_0734,N579MH,3.9
FLIGHT_0735,N372MZ,4.72
FLIGHT_0736,N523AR,6.36
