trip_id,aircraft,trip_type,trip_start_month,price
TRIP_0035,N610TX,Owner flight,2025-12-01,24022.98
TRIP_0036,N604CH,Charter flight,2025-04-01,35928.03
TRIP_0037,N716TM,Charter flight,2025-06-01,37035.96
TRIP_0038,N301VR,Charter flight,2025-07-01,20729.68
TRIP_0039,N604XT,Charter flight,2025-10-01,36191.22
TRIP_0040,N523AR,Charter flight,2025-04-01,43410.41
TRIP_0041,N301VR,Charter flight,2025-06-01,20340.13
TRIP_0042,N523AR,Owner flight,2025-11-01,33587.38
TRIP_0043,N301VR,Charter flight,2025-01-01,23104.39
TRIP_0044,N452M,Charter flight,2026-02-01,18392.69
TRIP_0045,N716TM,Owner flight,2025-08-01,32541.11
TRIP_0046,N604XT,Charter flight,2025-07-01,32566.62
TRIP_0047,N71HC,Charter flight,2025-11-01,19860.31
TRIP_0048,N495DD,Charter flight,2025-11-01,34151.2
TRIP_0049,N579MH,Charter flight,2025-09-01,26446.85
TRIP_0050,N99CT,Charter flight,2025-03-01,19644.1
TRIP_0051,N610TX,Charter flight,2025-02-01,22348.66
TRIP_0052,N604CH,Charter flight,2025-01-01,38456.72
TRIP_0053,N610TX,Charter flight,2025-03-01,18866.22
TRIP_0054,N452M,Charter flight,2025-05-01,22606.77
TRIP_0055,N579MH,Charter flight,2026-02-01,27266.96
TRIP_0056,N610TX,Charter flight,2025-11-01,16097.66
TRIP_0057,N301VR,Charter flight,2025-02-01,21233.7
TRIP_0058,N99CT,Charter flight,2025-12-01,19233.98
TRIP_0059,N301VR,Charter flight,2025-03-01,23757.66
TRIP_0060,N71HC,Owner flight,2025-04-01,19208.48
TRIP_0061,N71HC,Owner flight,2025-07-01,17151.29
TRIP_0062,N716TM,Charter flight,2026-01-01,34880.73
TRIP_0063,N452M,Charter flight,2025-03-01,18257.57
TRIP_0064,N71HC,Charter flight,2025-09-01,22623.96
TRIP_0065,N716TM,Charter flight,2025-08-01,31765.55
TRIP_0066,N495DD,Charter flight,2025-04-01,34929.97
TRIP_0067,N301VR,Owner flight,2026-01-01,24364.53
TRIP_0068,N604CH,Charter flight,2025-01-01,39394.11
TRIP_0069,N301VR,Charter flight,2025-01-01,21694.6
TRIP_0070,N610TX,Charter flight,2025-01-01,20181.06
TRIP_0071,N604CH,Owner flight,2025-01-01,36531.59
TRIP_0072,N99CT,Charter flight,2025-08-01,22222.46
TRIP_0073,N301VR,Owner flight,2025-03-01,18033.49
TRIP_0074,N452M,Charter flight,2025-06-01,22628.34
TRIP_0075,N372MZ,Charter flight,2025-03-01,30593.22
TRIP_0076,N372MZ,Charter flight,2025-11-01,37289.81
TRIP_0077,N604CH,Charter flight,2025-05-01,30572.44
TRIP_0078,N301VR,Charter flight,2026-01-01,25406.99
TRIP_0079,N71HC,Charter flight,2026-02-01,22408.35
TRIP_0080,N301VR,Charter flight,2026-01-01,16609.94
TRIP_0081,N452M,Charter flight,2025-07-01,20497.68
TRIP_0082,N579MH,Charter flight,2025-02-01,22175.02
TRIP_0083,N71HC,Charter flight,2025-06-01,18900.68
TRIP_0084,N301VR,Charter flight,2026-01-01,20867.76
TRIP_0085,N716TM,Charter flight,2025-06-01,31288.03
TRIP_0086,N71HC,Charter flight,2025-11-01,22403.66
TRIP_0087,N372MZ,Charter flight,2025-03-01,37818.62
TRIP_0088,N604XT,Charter flight,2025-06-01,36405.7
TRIP_0089,N452M,Charter flight,2025-10-01,20451.24
TRIP_0090,N523AR,Charter flight,2025-10-01,37639.27
TRIP_0091,N301VR,Charter flight,2026-02-01,22478.46
TRIP_0092,N372MZ,Charter flight,2025-05-01,36819.67
TRIP_0093,N604CH,Charter flight,2025-12-01,29752.5
TRIP_0094,N579MH,Charter flight,2025-02-01,21240.65
TRIP_0095,N604CH,Charter flight,2025-09-01,33927.76
TRIP_0096,N523AR,Charter flight,2025-08-01,29096.84
TRIP_0097,N495DD,Charter flight,2025-03-01,35896.01
TRIP_0098,N523AR,Charter flight,2025-08-01,40644.02
TRIP_0099,N301VR,Charter flight,2026-02-01,23629.23
TRIP_0100,N301VR,Charter flight,2025-09-01,22349.07
TRIP_0101,N301VR,Charter flight,2026-02-01,22319.28
TRIP_0102,N604XT,Charter flight,2025-03-01,43861.18
TRIP_0103,N71HC,Owner flight,2025-03-01,22609.66
TRIP_0104,N531P,Charter flight,2025-02-01,27239.72
TRIP_0105,N452M,Charter flight,2025-08-01,16902.71
TRIP_0106,N716TM,Charter flight,2025-10-01,40331.28
TRIP_0107,N71HC,Charter flight,2025-01-01,21496.24
TRIP_0108,N604CH,Charter flight,2025-08-01,34680.86
TRIP_0109,N99CT,Charter flight,2025-07-01,19680.9
TRIP_0110,N301VR,Charter flight,2026-02-01,19128.51
TRIP_0111,N716TM,Charter flight,2025-07-01,40027.11
TRIP_0112,N99CT,Owner flight,2025-03-01,20429.1
TRIP_0113,N610TX,Charter flight,2025-01-01,19220.8
TRIP_0114,N604CH,Charter flight,2025-04-01,31913.81
TRIP_0115,N604XT,Charter flight,2025-09-01,35682.4
TRIP_0116,N452M,Charter flight,2025-05-01,19600.98
TRIP_0117,N604CH,Charter flight,2025-01-01,32648.98
TRIP_0118,N99CT,Charter flight,2025-05-01,17044.61
TRIP_0119,N452M,Owner flight,2026-01-01,22898.39
TRIP_0120,N495DD,Charter flight,2025-08-01,34447.91
TRIP_0121,N604CH,Charter flight,2025-08-01,30659.05
TRIP_0122,N452M,Charter flight,2025-05-01,19821.91
TRIP_0123,N71HC,Charter flight,2025-12-01,21872.83
TRIP_0124,N301VR,Owner flight,2025-09-01,20572.1
TRIP_0125,N99CT,Charter flight,2025-01-01,20977.48
TRIP_0126,N523AR,Charter flight,2025-04-01,35170.19
TRIP_0127,N452M,Charter flight,2025-03-01,17307.86
TRIP_0128,N452M,Charter flight,2025-02-01,22871.27
TRIP_0129,N301VR,Charter flight,2025-08-01,16229.38
TRIP_0130,N531P,Charter flight,2025-07-01,25615.38
TRIP_0131,N71HC,Owner flight,2025-09-01,22038.93
TRIP_0132,N99CT,Charter flight,2025-02-01,19950.39
TRIP_0133,N301VR,Charter flight,2026-02-01,21383.56
TRIP_0134,N71HC,Charter flight,2026-02-01,19807.16
TRIP_0135,N610TX,Charter flight,2025-04-01,21413.74
TRIP_0136,N71HC,Charter flight,2026-02-01,22982.31
TRIP_0137,N495DD,Charter flight,2025-06-01,31831.49
TRIP_0138,N372MZ,Charter flight,2025-11-01,37695.86
TRIP_0139,N71HC,Charter flight,2025-03-01,24731.0
TRIP_0140,N610TX,Charter flight,2025-08-01,21161.41
TRIP_0141,N610TX,Owner flight,2025-03-01,19242.24
TRIP_0142,N716TM,Charter flight,2026-02-01,44052.93
TRIP_0143,N523AR,Charter flight,2025-12-01,35354.82
TRIP_0144,N716TM,Charter flight,2026-01-01,35926.12
TRIP_0145,N716TM,Charter flight,2026-01-01,36009.5
TRIP_0146,N301VR,Charter flight,2025-02-01,21619.66
TRIP_0147,N579MH,Charter flight,2026-01-01,22813.94
TRIP_0148,N531P,Charter flight,2026-01-01,24664.97
TRIP_0149,N301VR,Charter flight,2025-03-01,22880.46
TRIP_0150,N716TM,Charter flight,2025-11-01,33506.4
TRIP_0151,N452M,Owner flight,2025-06-01,19450.02
TRIP_0152,N716TM,Charter flight,2025-02-01,33831.66
TRIP_0153,N99CT,Charter flight,2025-08-01,17755.57
TRIP_0154,N523AR,Charter flight,2025-01-01,32268.64
TRIP_0155,N610TX,Charter flight,2025-07-01,18691.05
TRIP_0156,N716TM,Charter flight,2025-02-01,34997.91
TRIP_0157,N604XT,Charter flight,2025-10-01,38344.58
TRIP_0158,N604CH,Charter flight,2025-12-01,40814.86
TRIP_0159,N716TM,Charter flight,2025-06-01,35228.75
TRIP_0160,N372MZ,Charter flight,2025-12-01,36825.88
TRIP_0161,N71HC,Charter flight,2025-02-01,21108.48
TRIP_0162,N579MH,Charter flight,2025-02-01,16672.96
TRIP_0163,N604XT,Charter flight,2025-10-01,30408.44
TRIP_0164,N495DD,Charter flight,2026-01-01,38045.06
TRIP_0165,N301VR,Charter flight,2025-08-01,22646.21
TRIP_0166,N452M,Charter flight,2025-12-01,22589.02
TRIP_0167,N71HC,Charter flight,2025-02-01,20055.47
TRIP_0168,N99CT,Charter flight,2025-07-01,15512.91
TRIP_0169,N301VR,Charter flight,2025-03-01,17928.69
TRIP_0170,N579MH,Charter flight,2025-08-01,20935.72
TRIP_0171,N604XT,Charter flight,2025-07-01,37515.07
TRIP_0172,N301VR,Charter flight,2026-02-01,19606.57
TRIP_0173,N495DD,Charter flight,2025-08-01,41761.6
TRIP_0174,N99CT,Charter flight,2026-02-01,24169.1
TRIP_0175,N604XT,Charter flight,2025-07-01,41694.79
TRIP_0176,N99CT,Charter flight,2025-11-01,18208.72
TRIP_0177,N372MZ,Charter flight,2025-06-01,36963.56
TRIP_0178,N71HC,Owner flight,2026-01-01,19306.19
TRIP_0179,N610TX,Charter flight,2025-07-01,21319.68
TRIP_0180,N301VR,Charter flight,2025-05-01,18485.97
TRIP_0181,N71HC,Owner flight,2025-07-01,23565.39
TRIP_0182,N301VR,Owner flight,2025-01-01,18532.67
TRIP_0183,N610TX,Charter flight,2025-01-01,15631.9
TRIP_0184,N452M,Charter flight,2025-09-01,25584.45
TRIP_0185,N716TM,Charter flight,2026-02-01,36769.99
TRIP_0186,N604XT,Charter flight,2025-05-01,30723.49
TRIP_0187,N452M,Charter flight,2026-01-01,20094.32
TRIP_0188,N579MH,Charter flight,2025-05-01,21981.0
TRIP_0189,N495DD,Charter flight,2025-03-01,35022.97
TRIP_0190,N716TM,Owner flight,2025-05-01,38211.12
TRIP_0191,N301VR,Charter flight,2025-03-01,22114.45
TRIP_0192,N452M,Charter flight,2025-09-01,21134.32
TRIP_0193,N452M,Charter flight,2025-09-01,20513.13
TRIP_0194,N579MH,Charter flight,2025-06-01,27775.35
TRIP_0195,N71HC,Charter flight,2025-01-01,15686.35
TRIP_0196,N71HC,Charter flight,2025-07-01,18627.67
TRIP_0197,N372MZ,Charter flight,2025-07-01,31085.35
TRIP_0198,N452M,Charter flight,2026-02-01,23015.64
TRIP_0199,N452M,Charter flight,2025-10-01,18652.27
TRIP_0200,N604CH,Owner flight,2025-10-01,29856.18
TRIP_0201,N604XT,Charter flight,2025-04-01,37197.31
TRIP_0202,N301VR,Charter flight,2025-08-01,18228.13
TRIP_0203,N99CT,Charter flight,2025-06-01,19623.18
TRIP_0204,N452M,Charter flight,2025-04-01,26452.86
TRIP_0205,N579MH,Charter flight,2025-04-01,26754.98
TRIP_0206,N301VR,Charter flight,2025-02-01,19972.4
TRIP_0207,N301VR,Charter flight,2026-02-01,20197.18
TRIP_0208,N604XT,Owner flight,2025-02-01,38629.95
TRIP_0209,N301VR,Charter flight,2025-12-01,22157.18
TRIP_0210,N99CT,Charter flight,2026-02-01,20689.0
TRIP_0211,N579MH,Charter flight,2025-04-01,24362.46
TRIP_0212,N372MZ,Charter flight,2025-05-01,29080.61
TRIP_0213,N604XT,Charter flight,2025-08-01,28239.96
TRIP_0214,N99CT,Charter flight,2025-06-01,20057.94
TRIP_0215,N372MZ,Charter flight,2026-02-01,32466.86
TRIP_0216,N716TM,Charter flight,2025-04-01,37344.32
TRIP_0217,N71HC,Charter flight,2026-01-01,20992.95
TRIP_0218,N604CH,Charter flight,2025-11-01,31908.9
TRIP_0219,N604XT,Charter flight,2025-07-01,35652.79
TRIP_0220,N452M,Charter flight,2025-08-01,19454.42
TRIP_0221,N604XT,Charter flight,2025-02-01,43266.41
TRIP_0222,N579MH,Charter flight,2025-12-01,25351.85
TRIP_0223,N301VR,Owner flight,2025-07-01,16598.48
TRIP_0224,N71HC,Charter flight,2026-02-01,25051.29
TRIP_0225,N716TM,Charter flight,2025-02-01,32467.4
TRIP_0226,N716TM,Owner flight,2025-02-01,31101.05
TRIP_0227,N610TX,Charter flight,2025-08-01,25859.22
TRIP_0228,N71HC,Owner flight,2025-02-01,21364.59
TRIP_0229,N452M,Owner flight,2025-11-01,22251.92
TRIP_0230,N579MH,Charter flight,2025-09-01,26565.71
TRIP_0231,N604CH,Charter flight,2025-12-01,34176.04
TRIP_0232,N531P,Owner flight,2025-01-01,21996.58
TRIP_0233,N579MH,Charter flight,2025-09-01,22567.6
TRIP_0234,N523AR,Charter flight,2025-01-01,41435.47
TRIP_0235,N99CT,Owner flight,2025-10-01,21009.47
TRIP_0236,N372MZ,Charter flight,2026-01-01,40251.66
TRIP_0237,N716TM,Charter flight,2025-10-01,34694.22
TRIP_0238,N301VR,Charter flight,2025-02-01,18611.54
TRIP_0239,N604XT,Charter flight,2025-06-01,29231.13
TRIP_0240,N99CT,Charter flight,2025-06-01,22120.01
TRIP_0241,N610TX,Owner flight,2025-01-01,24735.25
TRIP_0242,N610TX,Charter flight,2025-07-01,18285.07
TRIP_0243,N610TX,Charter flight,2025-08-01,21783.43
TRIP_0244,N71HC,Charter flight,2025-02-01,17060.96
TRIP_0245,N301VR,Charter flight,2025-08-01,19110.76
TRIP_0246,N610TX,Charter flight,2025-09-01,21169.84
TRIP_0247,N523AR,Owner flight,2025-06-01,28086.82
TRIP_0248,N610TX,Owner flight,2025-05-01,20454.94
TRIP_0249,N610TX,Charter flight,2025-12-01,18408.25
TRIP_0250,N452M,Charter flight,2025-09-01,22011.9
TRIP_0251,N716TM,Charter flight,2026-01-01,34338.4
TRIP_0252,N71HC,Owner flight,2025-12-01,22848.6
TRIP_0253,N452M,Charter flight,2025-11-01,19801.0
TRIP_0254,N71HC,Charter flight,2025-09-01,17094.05
TRIP_0255,N99CT,Charter flight,2025-01-01,16782.6
TRIP_0256,N579MH,Owner flight,2025-11-01,17318.47
TRIP_0257,N610TX,Charter flight,2025-03-01,22082.39
TRIP_0258,N372MZ,Charter flight,2025-09-01,45230.92
TRIP_0259,N579MH,Charter flight,2025-11-01,25523.33
TRIP_0260,N301VR,Owner flight,2025-02-01,24680.12
TRIP_0261,N579MH,Charter flight,2025-12-01,27967.51
TRIP_0262,N610TX,Charter flight,2025-04-01,19204.16
TRIP_0263,N301VR,Charter flight,2025-04-01,23663.29
TRIP_0264,N495DD,Charter flight,2025-02-01,33085.7
TRIP_0265,N452M,Charter flight,2025-03-01,19353.23
TRIP_0266,N372MZ,Charter flight,2026-01-01,34165.63
TRIP_0267,N372MZ,Owner flight,2025-03-01,34355.21
TRIP_0268,N372MZ,Owner flight,2025-01-01,37645.48
TRIP_0269,N71HC,Owner flight,2025-06-01,18822.78
TRIP_0270,N716TM,Charter flight,2025-08-01,38556.41
TRIP_0271,N604CH,Charter flight,2025-12-01,38498.98
TRIP_0272,N604CH,Charter flight,2025-03-01,36371.85
TRIP_0273,N452M,Charter flight,2025-05-01,25349.03
TRIP_0274,N610TX,Owner flight,2025-01-01,23718.48
TRIP_0275,N495DD,Charter flight,2025-10-01,39278.92
TRIP_0276,N531P,Charter flight,2025-07-01,24231.54
TRIP_0277,N604CH,Charter flight,2025-10-01,36407.06
TRIP_0278,N604XT,Charter flight,2026-01-01,37095.23
TRIP_0279,N372MZ,Charter flight,2025-01-01,35052.97
TRIP_0280,N604CH,Owner flight,2025-12-01,33497.72
TRIP_0281,N452M,Owner flight,2025-11-01,14485.72
TRIP_0282,N71HC,Charter flight,2025-09-01,22294.41
TRIP_0283,N71HC,Charter flight,2025-08-01,23103.62
TRIP_0284,N301VR,Charter flight,2025-07-01,17597.2
TRIP_0285,N579MH,Owner flight,2025-10-01,26118.09
TRIP_0286,N301VR,Charter flight,2025-07-01,19021.18
TRIP_0287,N523AR,Charter flight,2025-05-01,33533.88
TRIP_0288,N495DD,Charter flight,2025-05-01,40243.04
TRIP_0289,N716TM,Charter flight,2025-11-01,31037.46
TRIP_0290,N579MH,Charter flight,2026-01-01,20527.48
TRIP_0291,N301VR,Owner flight,2025-05-01,25012.09
TRIP_0292,N301VR,Charter flight,2025-01-01,20136.11
TRIP_0293,N452M,Charter flight,2025-08-01,23616.36
TRIP_0294,N71HC,Charter flight,2025-12-01,16503.24
TRIP_0295,N301VR,Charter flight,2025-11-01,16703.49
TRIP_0296,N495DD,Charter flight,2025-01-01,31348.22
TRIP_0297,N604CH,Charter flight,2025-04-01,33074.16
TRIP_0298,N99CT,Charter flight,2025-09-01,16991.78
TRIP_0299,N579MH,Charter flight,2026-02-01,25292.54
TRIP_0300,N301VR,Charter flight,2025-09-01,21586.49
TRIP_0301,N301VR,Charter flight,2025-05-01,18254.64
TRIP_0302,N495DD,Owner flight,2025-04-01,31725.61
TRIP_0303,N495DD,Charter flight,2025-03-01,32252.87
TRIP_0304,N604XT,Charter flight,2025-03-01,30340.46
TRIP_0305,N372MZ,Charter flight,2025-12-01,23417.77
TRIP_0306,N610TX,Charter flight,2025-05-01,20287.4
TRIP_0307,N495DD,Charter flight,2025-10-01,33278.25
TRIP_0308,N71HC,Charter flight,2025-01-01,19679.64
TRIP_0309,N604CH,Charter flight,2025-05-01,30952.79
TRIP_0310,N716TM,Charter flight,2025-06-01,38241.99
TRIP_0311,N523AR,Charter flight,2025-07-01,44701.57
TRIP_0312,N301VR,Charter flight,2025-12-01,18414.79
TRIP_0313,N301VR,Charter flight,2025-09-01,23999.24
TRIP_0314,N610TX,Charter flight,2025-03-01,21416.62
TRIP_0315,N452M,Charter flight,2025-02-01,20588.55
TRIP_0316,N372MZ,Charter flight,2026-02-01,33623.51
TRIP_0317,N71HC,Charter flight,2025-03-01,20291.96
TRIP_0318,N99CT,Charter flight,2025-12-01,23373.98
TRIP_0319,N99CT,Owner flight,2025-09-01,17654.8
TRIP_0320,N716TM,Owner flight,2025-12-01,33899.97
TRIP_0321,N579MH,Charter flight,2025-07-01,28371.5
TRIP_0322,N372MZ,Charter flight,2025-09-01,38934.86
TRIP_0323,N604XT,Charter flight,2026-01-01,30509.66
TRIP_0324,N716TM,Charter flight,2025-02-01,34269.63
TRIP_0325,N610TX,Owner flight,2025-05-01,22320.02
TRIP_0326,N372MZ,Charter flight,2026-01-01,37653.71
TRIP_0327,N579MH,Charter flight,2025-04-01,27412.97
TRIP_0328,N579MH,Charter flight,2025-02-01,25345.0
TRIP_0329,N71HC,Charter flight,2025-09-01,21879.88
TRIP_0330,N716TM,Charter flight,2025-09-01,36371.19
TRIP_0331,N71HC,Charter flight,2025-06-01,24449.33
TRIP_0332,N604CH,Owner flight,2025-11-01,33312.76
TRIP_0333,N301VR,Charter flight,2025-06-01,20620.48
TRIP_0334,N301VR,Charter flight,2025-08-01,17962.58
TRIP_0335,N301VR,Owner flight,2025-06-01,17469.95
TRIP_0336,N301VR,Charter flight,2025-01-01,21312.39
TRIP_0337,N452M,Owner flight,2025-04-01,18689.53
TRIP_0338,N372MZ,Owner flight,2026-01-01,34769.26
TRIP_0339,N523AR,Charter flight,2025-07-01,41471.0
TRIP_0340,N301VR,Charter flight,2026-01-01,24399.84
TRIP_0341,N523AR,Charter flight,2026-01-01,43896.18
TRIP_0342,N523AR,Owner flight,2025-02-01,41550.61
TRIP_0343,N99CT,Charter flight,2025-09-01,26507.55
TRIP_0344,N523AR,Charter flight,2025-08-01,36746.12
TRIP_0345,N71HC,Owner flight,2025-08-01,18242.45
TRIP_0346,N579MH,Owner flight,2025-07-01,20498.63
TRIP_0347,N604XT,Owner flight,2025-04-01,40585.32
TRIP_0348,N301VR,Charter flight,2025-02-01,20629.07
TRIP_0349,N71HC,Owner flight,2025-03-01,20815.33
TRIP_0350,N579MH,Charter flight,2025-12-01,22078.25
TRIP_0351,N531P,Owner flight,2025-06-01,22497.89
TRIP_0352,N452M,Charter flight,2025-12-01,21459.4
TRIP_0353,N604XT,Charter flight,2025-12-01,30779.11
TRIP_0354,N99CT,Charter flight,2025-05-01,21142.85
TRIP_0355,N301VR,Charter flight,2025-12-01,24277.7
TRIP_0356,N604XT,Charter flight,2025-08-01,26465.46
TRIP_0357,N301VR,Charter flight,2025-06-01,16646.72
TRIP_0358,N579MH,Charter flight,2025-06-01,26364.63
TRIP_0359,N610TX,Charter flight,2025-01-01,23909.92
TRIP_0360,N579MH,Charter flight,2025-04-01,22285.38
TRIP_0361,N71HC,Charter flight,2025-05-01,15504.4
TRIP_0362,N604XT,Charter flight,2025-12-01,40727.7
TRIP_0363,N523AR,Charter flight,2025-11-01,31755.74
TRIP_0364,N579MH,Charter flight,2025-03-01,22735.64
TRIP_0365,N610TX,Charter flight,2026-01-01,21297.61
TRIP_0366,N71HC,Charter flight,2025-09-01,18833.92
TRIP_0367,N610TX,Charter flight,2025-01-01,18309.68
TRIP_0368,N452M,Owner flight,2025-06-01,18355.5
TRIP_0369,N99CT,Owner flight,2025-06-01,25144.82
TRIP_0370,N301VR,Charter flight,2025-10-01,23399.03
TRIP_0371,N301VR,Owner flight,2025-05-01,21936.29
TRIP_0372,N301VR,Charter flight,2025-12-01,15033.92
TRIP_0373,N301VR,Charter flight,2025-05-01,21945.48
TRIP_0374,N604XT,Charter flight,2025-10-01,37096.8
TRIP_0375,N301VR,Charter flight,2026-02-01,17304.67
TRIP_0376,N71HC,Charter flight,2026-01-01,21146.78
TRIP_0377,N452M,Charter flight,2025-05-01,23128.73
TRIP_0378,N301VR,Charter flight,2025-06-01,21923.41
TRIP_0379,N452M,Charter flight,2025-08-01,18799.58
TRIP_0380,N716TM,Charter flight,2025-02-01,35053.06
TRIP_0381,N301VR,Charter flight,2025-06-01,22325.89
TRIP_0382,N372MZ,Charter flight,2025-01-01,35237.81
TRIP_0383,N579MH,Charter flight,2025-04-01,28390.0
TRIP_0384,N452M,Charter flight,2026-02-01,21489.2
TRIP_0385,N372MZ,Charter flight,2025-10-01,38011.69
TRIP_0386,N604CH,Owner flight,2025-03-01,38285.6
TRIP_0387,N716TM,Charter flight,2025-09-01,30733.27
TRIP_0388,N99CT,Charter flight,2025-03-01,20624.97
TRIP_0389,N604CH,Charter flight,2025-06-01,33670.58
TRIP_0390,N604CH,Charter flight,2025-01-01,39175.38
TRIP_0391,N610TX,Charter flight,2025-12-01,21658.08
TRIP_0392,N71HC,Charter flight,2025-06-01,20029.47
TRIP_0393,N71HC,Charter flight,2025-04-01,17295.37
TRIP_0394,N604CH,Charter flight,2025-08-01,28612.37
TRIP_0395,N71HC,Charter flight,2026-01-01,21275.86
TRIP_0396,N610TX,Charter flight,2025-11-01,18706.97
TRIP_0397,N452M,Charter flight,2025-09-01,22165.32
TRIP_0398,N523AR,Charter flight,2025-04-01,28427.44
TRIP_0399,N604CH,Charter flight,2025-10-01,41371.8
TRIP_0400,N604CH,Charter flight,2025-12-01,37655.46
TRIP_0401,N301VR,Charter flight,2025-10-01,20747.96
TRIP_0402,N452M,Charter flight,2025-06-01,24707.65
TRIP_0403,N531P,Charter flight,2025-01-01,27319.46
TRIP_0404,N452M,Charter flight,2025-04-01,19312.49
TRIP_0405,N71HC,Owner flight,2025-07-01,20693.94
TRIP_0406,N452M,Charter flight,2025-12-01,15589.31
TRIP_0407,N71HC,Owner flight,2025-01-01,23160.48
TRIP_0408,N301VR,Charter flight,2025-08-01,19760.12
TRIP_0409,N452M,Charter flight,2025-12-01,15556.94
TRIP_0410,N301VR,Charter flight,2025-10-01,17545.4
TRIP_0411,N71HC,Charter flight,2025-12-01,22677.28
TRIP_0412,N610TX,Charter flight,2025-11-01,24534.51
TRIP_0413,N610TX,Charter flight,2025-06-01,20551.06
TRIP_0414,N579MH,Charter flight,2025-05-01,20562.82
TRIP_0415,N579MH,Charter flight,2025-10-01,19027.38
TRIP_0416,N523AR,Charter flight,2025-11-01,40658.46
TRIP_0417,N716TM,Owner flight,2026-02-01,36797.87
TRIP_0418,N71HC,Charter flight,2025-09-01,19674.65
TRIP_0419,N604XT,Charter flight,2025-02-01,32726.91
TRIP_0420,N604CH,Charter flight,2025-05-01,37687.32
TRIP_0421,N604CH,Charter flight,2025-06-01,37577.27
TRIP_0422,N604CH,Charter flight,2025-07-01,31413.66
TRIP_0423,N301VR,Owner flight,2025-05-01,17644.07
TRIP_0424,N523AR,Charter flight,2025-09-01,30632.39
TRIP_0425,N301VR,Charter flight,2025-01-01,19329.44
TRIP_0426,N579MH,Charter flight,2025-07-01,21585.75
TRIP_0427,N523AR,Charter flight,2025-10-01,41472.37
TRIP_0428,N452M,Charter flight,2025-07-01,19240.55
TRIP_0429,N71HC,Charter flight,2025-04-01,17375.83
TRIP_0430,N301VR,Owner flight,2025-09-01,17516.26
TRIP_0431,N301VR,Charter flight,2026-02-01,20040.07
TRIP_0432,N604CH,Owner flight,2025-12-01,27711.5
TRIP_0433,N579MH,Charter flight,2025-11-01,23789.58
TRIP_0434,N301VR,Charter flight,2025-05-01,17159.48
TRIP_0435,N301VR,Charter flight,2025-04-01,23396.53
TRIP_0436,N372MZ,Charter flight,2026-01-01,35466.25
TRIP_0437,N301VR,Owner flight,2025-07-01,25802.56
TRIP_0438,N452M,Charter flight,2025-04-01,19929.5
TRIP_0439,N372MZ,Charter flight,2025-03-01,22473.02
TRIP_0440,N301VR,Charter flight,2025-09-01,24144.2
TRIP_0441,N301VR,Charter flight,2025-11-01,21754.81
TRIP_0442,N610TX,Charter flight,2025-08-01,22142.27
TRIP_0443,N71HC,Charter flight,2025-01-01,17993.54
TRIP_0444,N71HC,Charter flight,2025-07-01,20392.88
TRIP_0445,N452M,Charter flight,2025-09-01,20966.15
TRIP_0446,N610TX,Charter flight,2025-08-01,19905.45
TRIP_0447,N610TX,Charter flight,2025-08-01,16164.09
TRIP_0448,N604CH,Charter flight,2026-01-01,46074.77
TRIP_0449,N71HC,Owner flight,2025-06-01,22589.57
TRIP_0450,N301VR,Owner flight,2025-11-01,21551.46
